שם,תפקיד,עיר,תקופה
יעקב בן נתנאל בן פיומי,נגיד תימן ובעל אגרת תימן,צנעא,מאה י״ב
יעקב בן סלים,חכם ומגדולי המתרימים לישיבת א״י,עדן ואלגווה,"מאה י ""ב"
יעקב בן סעדיה,חכם,---,מאה י״ט
יעקב בן סעדיה,ריין וראב״ד,אלקאהרה - מרכז תימן,תחילת מאה כ׳
יעקב בן סעדיה בן מסעוד,סופר,בית אלגראבי - מרכז תימן,מאה ט״ו
יעקב שלום,ריין,מר׳כארן - ירים,מאה כ׳
יעקב בן שלמה,דיין,חמיאר - שרעב,מאה י״ז־י״ח
יעקב בן שלמה,סופר,דרום תימן,מאה י״ח
יעקב שמעון,מצהיג,מחצה עולים גאולה ־ עדן,אמצע מאה כ׳
יפת,נגיד,נגד מריח,מאה ט״ו
יפת בן אברהם,דיין,שרעב,מאת י״ט־כ׳
יפת בן יפת,דיין או מנהיג,כיאריא ־ דרום תימן,מאת כ׳
יפת בן מעודד,מנהיג,ת׳ראת,"מאה י ""ז"
יפת בן נתנאל בן ישעיה,חכם וסופר,---,מאה י״ד
יפת בן שלום,חכם,צ׳אלע,מאה י״ט
יצהרי,---,---,---
יצחק,מגדולי התורמים לישיבת א״י,---,מאה י״א-י״ב
יצחק בן אברהם,סופר,---,"מאה *""ז"
יצחק בן זכריה בן שלום,חכם וסופר,---,מאה י״ז־י״ח
יצחק בן יפת חסן,משורר,חוגריה - דרום תימן,"מאה י ""ט"
"יצחק, יצחק בן חיים הלוי",פעיל ציבור ומנהיג,צנעא - ירושלים,מאת כ׳
"יצחק, יצחק בן יצחק בן משה",סופר,צנעא,מאה י״ט־כ׳
יצחק בן מנצור,מנהיג,ררב אלמהרם,מאה כ׳
יצחק בן מסעוד,סופר,---,מאה כ׳
יצחק בן מעוצ׳ה בן מדמון,חכם!,מממן העתקת ספר,מאה ט״ו
יצחק בן סעדיה,מנהיג או דיין,כוכבאן ־ מרכז תימן,מאה ט״ז-
יצחק בן סעדיה,חכם,אצאהיר ־ חבאן - מזרח תימן,מאה י״ט- כ׳
"יצחק, עואץ בן יוסף",מנהיג,גבל עמר - מרכז תימן,מאה י״ט
יצחק בן פיומי,משורר,צנעא ן,"מאת י ""ב"
יצחק בן שלום,חכם,---,"מאה י""ח"
יצחק בן שלום,סופר,---,מאה י״ט
"ירימי, יוסף בן יצחק",חכם,---,מאה כ׳
ישועה,ראב״ד ורב ראשי,עדן,מאה י״ח־י״ס
ישועה בן יעקב,פייטן,מקדמוני פייסני תימן,מאה י״ב־י״די
ישועה בן מצ׳מון,נגיד תימן,עדן,מאת י״ב־י״ג
ישועה בן עואץ בן ישועה,סופר,---,"מאה י ""ט"
ישועה בן עמר,חכם או ריין,צנעא,מאה ט״ז
ישע בן דוד בן נחום,סופר,חמרה אלקלעח,"מאה י ""ז"
ישע בן שלום,סופר,תנעם ואלג׳יל - מרכז תימן,מאה ט״ז
ישעיה בן דוד,דיין וראב״ד,מצעב - כ׳ולאן,מאת י״ז
ישראל בן יוסף,משורר וסופר,אעדאן ותעיז - שרעב,מאה ט״ז-
ישראל בן יוסף,סופר,רצאבה!,מאה י״ט־כ׳
"יתים, חיים",מנהיג,ירים ־ מרכז תימן,אמצע מאה כ׳
"יתים, יוסף",חכם,גוראן - ירים,מאה י״ט־כ׳
"יתים, משה בן יוסף",דיין,ירים - מרכז תימן,מאה כ׳
"יתים, עואץ",חכם,כובאן ־ רדאע,מאה כ׳
יתר בן סעדיה,חכם,צעדה - צפון תימן,מאה ט״ז
יתר בן שלמה בן דוד,סופר,בעל שושלת יוחסין לשבט יהודה,מאת ט״ו-ט״ז
"כאולי, גיאת בן שלום",סופר,טוילה - מרכז תימן,מאה ט״ו
"כאריץ, שלום בן יחיא",מנהיג,צנעא,מאה י״ט
"כ׳ברה, דוד",חכם,צ׳אף - גהראן ־ מרכז תימן,מאה י״ט־כ׳
"כ׳ברה, יחיא בן שלמה",מנהיג,מעבר - מרכז תימן,אמצע מאה כ׳
"כ׳ברה, שלום בן יחיא",---,---,---
"כהן, אברהם בן אהרן",חכם וראש ישיבה,צנעא - תל אביב,מאה י״ט־כ׳
"כהן, אברהם בן יוסף",דיין,צגעא,מאה י״ז
"כהן, דוד בן אברהם",ראב״ד,צנעא,אמצע מאה ט״ז
"כהן, זכריה",רב קהילה,סדה-דרום תימן־נהלל,מאה כ׳
"כהן, זכריה-יחיא בן יוסף",ראב״ד הקבוע השני,צנעא,מאה י״ז־י״ח
"כהן, זכריה בן שלום",---,---,---
"כהן, יהודה",חכם ושליח בי״ד צנעא,---,מאה י״ט־כ׳
"כהן, יהודה בן סעדיה",מנהיג ודיין,כיאריא - דרום תימן,מאה כ׳
"כהן, יוסף",רב קהילה,אלגדס - דרום הימן,מאה י״ט
"כהן, יוסף בן אברהם",דיין,צנעא,מאה ט״ז
"כהן, יוסף בן אהרן",חכם וסופר,צנעא,מאה י״ט
"כהן, יוסף בן אהרן",חכם,צנעא,מאה י״ח־י״ט
"כהן, יוסף בן בנימין",דיין,צנעא,מאה ט״ז
"כהן, יוסף בן יהודה",היין,צנעא,מאה ט׳/ז
"כהן, יוסף בן יוסף",סופר,---,מאה י״ח־י״ט
"כהן, יוסף בן יחיא",סופר,מרכז תימן,מאה י״ח
"כהן, יוסף בן יחיא",מנהיג,איב ־ דרוס תימן,אמצע מאה כ׳
"כהן, יחיא בן מנצור",רב קהילה,אגבר - דרום תימן,מאה י״ט־כ׳
"כהן, יפת",חכם,---,מאה ט״ו
"כהן, יפת בן אברהם",סופר,קעטבה - דרום תימן,מאה י״ג או ט״ו
"כהן, יפת בן דוד",סופר,מעבר - מרכז תימן,מאה י״ז
"כהן, יצחק",ראב״ד,עדן,אמצע מאה י״ט
"כהן, יצחק בן יצחק",רב ראשי וראב״ד,עדן,מאה י״ט־כ׳
"כהן, יצחק בן יעקב",חכם,מאוז,---
"כהן, ישראל בן שלמה",חכם ומקובל,צ׳ובירה ־ מרכז תימן,מאה ט״ז־
"כהן, מעודד בן יפת",סופרן,מאת ט״ו-ט״ז,---
"כהן, מעודד בן סעדיה",סופר,אלנאדרה,"מאת י""ז"
"כהן, משה בן יוסף",חכם,דרום תימן,מאה י״ט
"כהן, סעדיה בן יוסף",חכם או דיין,צנעא,אמצע מאה ט״ז
"כהן, סעדיה בן יפת",חכם,---,מאה ט״ו
"כהן, סעדיה בן משה",דיין,צנעא,מאה י״ח
"כהן, סעדיה בן שלום",דיין וראב״ד,כיאריא - דרום תימן,מאה כ׳
"כהן, עמרם",חכם,רדאע,מאת י״ח
"כהן, עמרם בן יפת",חכם,מאת ט״ו,---
"כהן, שאול בן עואץ׳",רב קהילה,בעדאן־מושב אחיהוד,מאה י״ט- כ׳
"כהן, שלום",דיין,צעדה ־ צפון תימן,מאה י״ט־כ׳
"כהן, שלום בן אברהם",סופר,---,מאה י״ט
"כהן, שלום בן זכריה בן פנחס",סופר,---,מאה י״ח
"כהן, שלום בן יוסף",משורר,בעדאן- דרום תימן,מאה י״ט ־ כ׳
"כהן, שלום בן משה",חכם,---,"מאה י""ט"
"כהן, שלום בן משה",חכם ומקובל,מועציריה ־ חוגריח,מאה י״ט־כ׳
"כהן, שלום בן סעדיה",דיין וראש ישיבה,צנעא,"מאה י ""ח"
"כהן, שלום בן עודד",רב מושב אחיחוד,נאצ׳רי - אחיחוד,מאה כ׳
"כהן, שלום בן שלום",מנהיג,תנעם ־ מרכז תימן,אמצע מאה כ׳
"כהן, שלום בן שלמה",חכם וסופר,צנעא,אמצע מאה י״ט
"כהן, שלמה בן אברהם",דיין,כיאריא ־ דרום תימן,תחילת מאה כ׳
"כהן, שמואל בן יוסף",חכם,---,עד המאה הט״ו
"כהן, שמעון בן יוסף",רב קהילה,תאלבי ־ ד׳מאר,מאה י״ט־כ׳
"כהן, שמריה",משורר,---,מאה י״ב־ט״ו
"כובאני, דוד בן יחיא",דיין או מנהיג,חצ׳ר אלשהוד,מאה י״ש
כוחלאני,---,---,---
"כ׳ולאני, יצחק בן משה",---,---,---
"כורת, יעיש",---,---,---
כ׳לף,---,---,---
"כ׳לף, דוד",דיין,חמיאר - שרעב,מאה י״ז-י״ח
"כ׳לף, יהודה",חכם,מרכז תימן,מאה י״ט
"כ׳לף, סעדיה",ראש קהילה,קרית אלקאבל - מרכז תימן,תחילת מאה כ׳
"כ׳לף, סעדיה בן זכריה",חכם וסופר,כוכבאן - מרכז תימן,מאה י״ח
"כלף, שלום",ראש קהילה,אלקארה - מרכז תימן,מאה <״ט- כ׳
כלפי,---,---,---
"כלפי, אברהם בן שלמה",סופר,מפהק ־ מרכז תימן,אמצע מאה י״ז
"כ׳לפי, זכריה בן יוסף",סופר,ד׳נח,מאה ייס
"כלפי, שלמה בן דוד",סופר או מממן,דנח,מאה י״ז
"כסאר, חיים בן שמואל",מגדולי חכמי תימן בישראל,צנעא - בית עד׳אקה ־ ירושלים,מאה כ׳
"כסאר, שלום",חכם באשי,צנעא,סוף חמאה חי״ט
"כסאר, שלום בן יחיא",---,---,---
"כעתרח, שלום",חכם ושוחט,בית ער׳אקה- מרכז תימן,מאה י״ט
"כץ, פנחס בן יחיא פנחס",---,---,---
"כריף, יחיא בן שלום",מחכמי הישיבה הכללית,צנעא,מאה י״ט
"כשאת, ישכר בן שלום",מנהיג או דיין,חצר שהוד,מאה י״ט
"לגאמי, יחיא בן יוסף",רב קהילה,לגאם - ראש העין,מאה כ7
"לדאני, יוסף בן סעדיה",דיין וראב״ד,צנעא,"מאה י""ז"
"לדאני, מעודד בן שלמה",סופר,צנעא,מאה ט״ז
"לדאני, מעוצ׳ה בן מנצור",מגדולי החכמים,---,אמצע המאה הי״ד
לוי,ראח גם: משפחות חמדי,*צחק,---
"לוי, אברהם בן דוד",ראב״ד,צ׳אלע - דרום תימן,מאה י״ט
"לוי, אברהם בן זכריה",חכם ומקובל,ג׳בלת - דרום תימן,מאת ט״ז
"לוי, אברהם בן עזרא",משורר!,ות׳לא - מרכז תימן,מאת י״ד
"לוי, אברהם בן שלום",סופר,מאת ט״ו,---
"לוי, בניה בן סעדיה בן יוסף",סופר,כוכבאן - מרכז תימן,מאה ט׳׳ז
"לוי, דוד בן זכריה",חכם ומשורר,---,מאה ט״ו
"לוי- חביבי, דוד בן זכריה",---,---,---
"לוי, דוד בן ישע",משורר,---,מאה י״ז
"לוי, דוד בן נחום",סופר,גבל עמר - מרכז תימן,מאה י״ט
"לוי, דוד בן סעדיה",חכם,---,מאה ט״ז-י״ז
"לוי, זכריה בן סעדיה",סופר,---,"מאה י""ח"
"לוי, חיים בן משה",---,---,---
"לוי, יהודה",סופר,---,מאה י״ח
"לוי, יהודה בן סעדיה",ראב״ד,צנעא,מאה י״ז־י״ח
"לוי, יוסף בן שלמה",סופר,שרפה - מרכז תימן,מאה י״ז
"לוי, יחיא בן אברהם (אלשין)",---,---,---
"לוי, יחיא בן אהרן",משורר,---,מאה י״ז־י״ח
"לוי, יחיא בן משה יצחק",---,---,---
"לוי, יחיא בן סעדיה",סופר,---,מאה י״ט־כ׳
"לוי, יחיא בן שלום",חכם ושוחט,כפר גרירה־ רדאע,מאה י״ט־כ׳
"לוי, יצחק בן חיים יצחק",ראח: יצחק,יצחק בן חיים.,---
"לוי, ישועה בן אליהו",משורר,---,מאה י״ד-מ״ו
"לוי, יתר בן כוכב",סופר,סור ־ מרכז תימן,מאה ט״ו
"לוי, לוי בן יחיא",מנכבדי הקהילה,צנעא,מאה י״ט
"לוי, מעורר בן יוסף",סופר,טוילה - מרכז תימן,מאה י׳ע-י״ר
"לוי, שלמה בן יצחק",מנהיג,נ1צ׳מאר - מרכז תימן,מאות י״ח
"לוי, שלמה בן משה",סופר,---,"מאה י""ח"
"לוי, שלמה בן סעדיה",ריין,אעבאר צ׳אפרה,מאה י״ח
"לוי, שלמה בן שלמה",סופרי,קצבת ררב אלערארה,מאה י״ט
"מגארי, יעיש בן יוסף",חכם,שיבאם ־ מרכז תימן,מאה י״ט
"מגארי, שלמה הכהן",חכם,צנעא,כיאה כ׳
"מוסא-משה, אברהם חסן",רב קהילה,גראס - קרית יערים,אמצע מאה כ׳
"מוסאה, אברהם בן יוסף",חכם,---,מאה י״ט
"מוסאיי, מימון בן סעדיה בן משה",סופר,נזצ׳מאר?,מאה י״ז
"מוסאיי, שלום בן מימון",סופר,מצ׳מאר - מרכז תימן,מאה י״ז
"מוסאיי, שלמה בן משה",סופר,גבל חראז (מצמאר!),מאות ט״ז
מועלם,---,---,---
מופת בן סעדיה,סופר,טוילה ־ מרכז תימן,מאה י״ד
"מוקי, יעיש",מנהיג,ירים - מרכז תימן,אמצע מאה כ׳
"מזעקי, אברהם בן יחיא",מנהיג,שיבאס - מרכז תימן,אמצע מאה כ׳
"מזעקי, דוד בן יצחק",רב הישוב בית עד׳אקה - מרכז תימן,מאה י״ט־ כ,
"מזעקי-סרי, יחיא בן סעדיה",סופר,---,מאה י״ט
מזרחי,---,---,---
"מזרחי, מאיר צדוק",רב קהילה,רדאע - רחובות,מאה י״ט־כ׳
"מזרחי, סעדיה בן ישועה",סופר,---,מאה י״ט
"מחבוב, יחיא בן שלום",רב שכונת כפר שלם,סרה - תל-אביב,מאה כ׳
"מחבוב, שלום",חכם,סרה ־ ררום תימן,מאה י״ט־כ׳
מחפוץ׳ בן מעוצ׳ה,סופר,מצנעת בני קיס ־ מרכז תימן,מאה י״ר- ט״ו
"מחפוץ׳, שלום",ריין,מרכארן - ירים,מאה כ׳
"מחראבי, יששכר בן יהודה",ריין ומקובל,די סופל - חוגריה,מאה י״ט־כ׳
"מידעי, יוסף בן עואץ",רב קהילה,כוחלאן ־ מרכז תימן,מאה י״ט־נ׳
"מידעי, מאיר",רב קהילה,עלאנייה - מושב תנובות,מאה כ׳
"מידעי, שלום",---,---,---
"מיפעי, סעדיה בן שלמה",חכם,חבאן - דרום מזרח תימן,מאה י״ח
"מיפעי, שלום בן משה",ריין ומנהיג,חבאן - ררום מזרח תימן,מאה י״ט- כ׳
"מכלול, חיים בן שלמה",חכם,דרום תימן,מאה י״ט
"מלאחי־מלאכי, שלמה בן אברהם",רב עיר,ד׳מאר - ת״א,מאה י״ט־כ׳
"מלאכי, שלמה בן אברהם",---,---,---
"מלוכי, שלמה בן אברהם",כשיא וסופר,מסאעב ־ מירחב,"מאה י ""ח"
"מליחי, אהרן בן אברהם",סופר,צוק,מאה י״ז
"מליחי, חיים בן שוכר",מורה ומנהיג,סדה - דרום תימן,מאה כ׳
"מלמד, שלמה בן שלום",---,---,---
"מנגם, נתן בן יעיש",סופר,שרעב!,מאה י״ט
"מנגמי-חוזה, יששכר בן רצון",דיין ומקובל,מכלף ־ שרעב - מרמורק,מאה כ׳
"מנגמי, עמרם בן משולם",דיין ומגדולי חכמי שרעב,מארז י״ט־כ׳,---
"מנזלי, אברהם בן אהרן",דיין,צנעא,מאה י״ח-י״ט
"מנזלי, שלום",חכם,צנעא,מאה י״ט־כ׳
"מנזלי, שלום בן סעדיה",דיין,צנעא,מאת י״ז
"מנזלי, שלמה בן יחיא",דיין,מאת י״ט,---
מנחם,נגיד תימן העתיקה - חמיאר,מאה שלישית,תקופת המשנה והתלמוד
מנחם,חכם,---,"מאה י""ח"
מנחם,דיין,גחאף ־ דרום תימן,מאה י״ט־כ׳
מנחם בן דוד,דיין,צעדה ־ צפון תימן,מאה י״ח־י״ט
מנחם חיים,דיין,חוגריה ־ דרום תימן,מאה כ׳
מנחם יהודה,ריין וראב״ר,אלחביל - דרום תימן,"מאה י""ט-כ׳"
מנחם משה,נגיד,עדן,אמצע מאה י״ט
"מנחם, שלום יעקב",ראש הישיבה ורב ראשי,עדן,מאה י״ט־כ׳
"מני, עואץ",חכם,צצעא,תחילת המאה הי״ט
"מנס, סעדיה",מנהיג,ד׳יאב,מאה י״ח
"מנס, סעדיה",מנהיג,ת״א־יפו,תחילת מאה כ׳
מנצור,דיין,מלחה - דרום תימן,מאה כ׳
מנצור בן דניאל,פייטן,---,מאה י״ב
"מנצור, מנחם",ראב״ד,עדן,מאה י״ח־י״ט
"מנצור, סעדיה",סופר,---,"מאה י""ח"
"מנצור, סעדיה בן שלום",מנהיג,ד׳מאר,מאה י״ט
"מנצור, עואץ",חכם,עדן,מאה י״ט־כ׳
"מנצור, עואץ בן יחיא",סופר,דרום תימן,מאה כ׳
מנצור בן עמר,---,---,---
"מנצורה, נסים בן יעיש",מנהיג,צנעא,מאה י״ט
"מנצורה, שלום",חכם,צנעא,מאה י״ז־י״ח
"מנצורה, שלום בן יהודה",חכם ונגיד,צנעא,מאה י״ט
"מנשה, יהודה",ראב״ד,מד׳כארן - ירים,מאת י״ט־כ׳
"מסורי, חסן סעיד",---,---,---
"מסורי, נסים בן משולם",רב קהילה,עותמה - בעדאן,מאה י״ט־כ׳
"מסורי, סעדיה בן עודד",ממייסדי נחליאל ואלישיב בשרון,בעדאן - אלישיב,מאה כ׳
"מסורי, עודד",רב קהילה,צומערן - בעדאן,מאה י״ט־כ׳
"מסלם, יהודה",דיין,שרעב,מאה כ׳
"מסלם, יעקב",מנהיג,ג׳בלה - דרום תימן,מאה כ׳
מסלם סעדיה,רב קהילה,מרצין ־ תעז,מאה י״ט
מסעוד בן יחיא,פייטן,מקדמוני תימן,קודם למאה הט״ז
מסעוד בן מסעוד,רב קהילה,כ׳מיר - מרכז תימן,מאה י״ט־כ׳
"מעברי, סעדיה בן מעודד",חכם וסופר,ר׳מאר,"מאת י ""ז"
מעודד בן יוסף סעדיה,סופר,גראגיש,מאה ט״ו-ט״ז
מעודד בן משה,מנהיג,אלצירז - מרכז רנימן,מאה ט״ז-י״ז
מעודד בן שלום,ראב״ר,צנעא,מאוח י״ז־י״ח
מעודד בן שמריה בן דוד,חכם וסופר,---,מאה ט״ז
"מעוצ׳ה, אברהם",רב קהילה,כ׳מר - מרכז תימן,מאה כ׳
"מעוצ׳ה, אברהם בן אברהם",סופר,מאת כ׳,---
"מעוצ׳ה, יוסף מוסא",חכס,אלגרס - דרום מרכז תימן,מאה כ׳
מעוצ׳ה בן סעדיה,דיין,תעיז ־ דרום תימן,מאה י״ט־כ׳
מעוצ׳ה בן שלום,סופר,---,מאה י״ד
"מעוצ׳ה, שלמה",דיין וראב״ד,ד׳מאר,מאה כ׳
"מעטוף-דוח, אברהם בן יפת",רב קהילה,חבאן ־ דרום מזרח תימן,מאה כ׳
"מעטוף, יפת אברהם",רב קחילח,חבאן ־ דרום מזרח תימן,מאה י״ט- כ׳
"מעטוף, סעדיה בן משה",ריין,חבאן - ררום מזרח תימן,מאה י״ט־כ׳
"מעלם, זכריה בן סעדיה",סופר,גאהלייה ־ מרכז תימן,מאה י״ז
"מענא, שלום",מראשי קהילת רדאע,---,אמצע מאה י״ט
"מעסגי, יוסף בן שלום",סופר,---,מאה ט״ז-י״ז
"מפצ׳ל, שלמה בן זכריה",חכם,---,מאה ט״ז
"מפצ׳לי, יחיא",רב קהילה,אלמדיד ־ נהם - מרכז תימן,מאה י״ט־כ׳
מצ׳מון בן שלום,דיין,עדן,מאה י״ב
"מצ׳מוני, סעדיה בן יוסף",ריין,צנעא,מאה ט״ז
"מצ׳מוני, סעדיה בן יוסף",נשיא קהילת האפר ומראשי עולי תרמ״א,וזאפד ־ ירושלים,מאה י״ט
"מקאלח, יחיא",חכם,מקאלח - סדה - דרום תימן,מאה כ׳
"מרחבי, זכריה בן שלום",סופר,רדאע,מאה י״ז
"מרחום, עואץ בן יחיא",סופר,---,מאה י״ט
"מרחום, שמעון נסים",מנהיג!,רראע,מאה כ׳
מרים בת בניה,סופרת,צנעא,מאה ט״ו
משה,---,---,---
משה,חכם,מחאבשה - מרכז תימן,מאה י״ח
משה אברהם,ריין,חמאיר ־ שרעב,מאה י״ז-י״ח
משה בן אברהם,מנהיג,מצ׳מאר ־ מרכז תימן,מאה י״ח
משה בן אהרן,חכם ומקובל,דרום תימן,מאה י״ט
משה בן אהרן,סופר,כ׳מר או בית קורץ,מאה י״ט
משה בן בנין,דיין וראב״ד,עדן,מאה י״ח־י״ט
משה בן דניאל,שר וטפסר,עדן,תחילת מאה י״ג
משה בן זכריה,סופר,---,מאה י״ח
משה בן יוסף,סופר,---,מאה י״ט
משה בן יחיא,חכם,מרכז תימן,מאה י״ט!
משה בן יחיא,ריין,סור! - מרכז תימן,מאה י״ט
משה בן מעודד,חכם,אלמליח,אמצע מאה ט״ז
משה בן משה בן עודד,דיין,עדן,מאה י״ט
משה בן עמרם בן נצר,סופר,קאימת אבן חביש,מאה י״ר-ט״ו
משה בן שמואל,ריין,חמיאר ־ שרעב,מאה י״ו־י״ח
"משולם, שלום",חכם,תימן - ת״א,מאה כ׳
משומר,רב קהילה,לחג׳ ־ דרום תימן,מאה י״ט־כ׳
משומר בן שמן,חכם,עדן,מאה י״ט־כ׳
"משנוי, שלמה",פייטן,מרכז תימן,קודם למאה י״ט
"משרס, שלום הלוי",רב קהילה,עווזמת אלזילח - אנס,מאה כ'
משרקי,---,---,---
"משרקי, חיים בן שלמה",---,---,---
"משרקי, יחיא בן מרי דוד",דיין וממייסדי נוסח השאמי,צנעא,"מאה י״ח- י ""ט"
"משרקי, יחיא בן יוסף",דיין,צנעא,"אמצע מאה י ""ח"
"משרקי, ישראל בן סעדיה",חכם ומנהיג,שיבאס ־ מרכז תימן,מאה כ׳
משתא,---,---,---
"משתא, דוד בן יוסף",משורר,המאיר - תעיז,"מאה ט""!. י״ז"
"משתא, יוסף בן ישראל",מגדולי המשוררים,שרעב,מאה ט״ז-י״ז
"משתא, יחיא בן דוד",סופר,דרום תימן,מאה י״ז־י״ח
"משתא, יעקב בן עמרם",---,---,---
"משתא, ישראל בן יוסף",---,---,---
"משתא, סעדיה בן יוסף",משורר,שרעב,מאה י״ו
"משתא, שלמה בן שלום",משורר,שרעב,מאה י״ז
מת׳נא,חכם,אלגרס - דרום תימן,מאה י״ס-ב'
מת׳נא בן סעדיה,חכם,אלצ׳אהרה - דרוס תימן,מאה י״ט־כ׳
"מת׳נא, צאלח",מנהיג וחכם,ביחאן - דרום מזרח תימן,מאה י״ט־כ׳
מת׳נא בן שלום,דיין,מעזבה - דמת,מאה י״ט
"מת׳נא, שלום",חכם ושוחט,ביחאן - דרום מזרח תימן,מאה י״ט־כ׳
"מת׳נא, שלום מנשה",---,---,---
מתנאל בן מחפוץ,דיין,מעזבה - דמת,מאה י״ט
"נגאר, דוד בן אברהם",חכם,טוילה - מרכז תימן,מאה י״ח-י״ט
"נגאר, דוד יעקב",חכם,שעובה - חוגריה,מאה י״ט־כ׳
"נגאר, חיים בן יצחק",חכם,---,"מאה י""ט"
"נגאר, ישועה בן דוד",סופר,צפא מואדי סר - מרכז תימן,"מאוח י ""ז"
"נגאר, משה בן שלמה",סופר,---,מאה י״ח
"נגאר, סעדיה בן שלום",סופר,---,מאה י״ט
"נגאר, סעדיה בן שלום הלוי",חכם ומזכיר הקהילה ביפו,---,מאה י״ט־כ׳
"נגאר, עואץ בן יחיא",חכם ומנהיג,סואריה-ררום מזרח תימן,מאה י״ט־כ׳
"נגאר, עואץ בן מנצור",דיין,קפלה - סואריח,מאה י״ט־כ'
"נדאף, חיים בן שלום",מחכמי הישיבות,צנעא,מאת י״ט
"נדאף, יחיא בן שלמה",חכם וסופר,מרכז תימן,מאת י״ט־ כ׳
"נדאף, סעדיה בן חיים",חכם,מרכז תימן,מאת י״ט־כ׳
"נדאף, שלום בן חיים",מראשי חקחילח בירושלים,---,מאה י״ט
"נדאף, שלמה!",מקובל,צנעאן,מאה י״ו־י״ח
"נדאף, שלמה בן יצחק",רב קהילה,מחמת - הרצליה,מאה כ׳
"נהארי, לוי בן יחיא",סופר,---,מאה י״ט
"נהארי, שלמה",חכם ושוחט,בני עתאם־ מרכז תימן,מאה י״ט
"נחום, יחיא שלום",ריין,דמת ־ ישראל,מאה י״ט־כ׳
"נחום, סעדיה",דיין,צנעא,מאה י״ח
"נחום, סעדיה בן מרי יחיא",רב שכונה,שג׳אררה - נס ציונה,מאה כ׳
נחום בן עודד,חכם,צנעא!,---
"ניין, פלוני בן זכריה",חכם,---,מאהי״ט
"נסים, חיים",דיין,אבייש - שרעב,מאה י״ט־כ׳
נסים בן נסים,סופר,רצאבחז,מאה כ׳
נסים בן סעדיה,סופר,---,מאה י״ח־י״ט
נסים בן סעדיה,חכם,צ׳אלע - דרום תימן,מאה י״ט
נסים שלום,ראש קהילה,רצאבה,מאה י״ט ־ כ׳
"נעים, יאפת בן יוסף",סופר,---,מאה י״ט
"נקאש, אברהם בן שלום",סופר,מצ׳מאר - מרכז תימן,מאה י״ט
"נקאש, יוסף בן צאלח",חכם,צנעא,מאה י״ט
"נקאש, נסים",חכם,רדאע,מאה י״ס־כ׳
"נקאש, שלמה בן יחיא",מנהיג,גימאן - מרכז תימן,"מאה י""ט"
נתן בן אברהם,חכם,דרום תימן,מאה ש״ז־י״ז
נתנאל בן יצחק,מגדולי החכמים,---,מאה ט״ו
נתנאל בן יששכר,חכם,מרכז תימן,---
נתנאל בן ישעיה,מגדולי חכמי תימן,מאת י״ג-י״ר,---
נתנאל בירב פיומי,חכם ונגיד תימן,צנעא,אמצע מאה י״ב
"סאהי, שלום",חכם,מרכז תימן,מאה י״ט
"סבא, יהודה בן סעדיה",משורר,---,מאה י״ט!
"סדי, שלום בן זכריה",מנהיג,צנעא,מאה י״ז
"סודי, דוד בן יחיא",חכם,מרכז תימן,מאה י״ז-י״ט
"סולמי, נתן בן יצחק",חכם ומשורר,מזחאן־שרעב-ישראל,מאה י״ט־כ'
"סיאני, יחיא בן אברהם",חכם,צנעא,מאה י״ח־י״ט
"סיאני, יצחק בן דוד",סופר,---,מאה י״ז־י״ח
"סיאני, כמוסי יחיא בן יהודה",חכם,מרכז תימן!,
"סיבהי, שלום בן סעדיה",חכם ומנהיג,כ׳ולאן - רשל״צ,מאה כ׳
"סמחי, חיים",סופר,הג׳ר - חידאן,מאה י״ט-כ׳
"סמין, שלמה בן שלום",סופר,שנבאן מואדי אלסקאתין,מאה י״ט
"סנג׳אב, שלום בן סעדיה",נשיא יוחודי רדאע,מאוח י״ח,---
"סנואני, חיים בן יחיא",רב ראשי לחוגריה ומגדולי המקובלים,חוגריה - יהוד,מאה כ'
סעדיה,רב קהילה,כפר כיאריה - דרום תימן,"מאה ♦""טל"
סעדיה,---,---,---
סעדיה,---,---,---
סעדיה בן אברהם,חכם,צעדת ־ צפון תימן,"מאת י ""ב"
סעדיה בן אברהם,סופר,צעדה - צפון תימן,מאה י״ד
סעדיה בן אברהם,מנהיג,צנעא,מאת י״ז
סעדיה בן אברהם,סופר,---,מאה י״ט
סעדיה בן אברהם,ריין,קעטבה ־ ררום תימן,מאה כ׳
סעדיה בן אהרן,מנהיג,ערג׳ז,מאה י״ט
סעדיה בן אהרן,ריין וראב״ר,מכ׳לף - שרעב,מאה י״ט־כ׳
סעדיה בן בניה,סופר,צנעא,מאה ט״ו
סעדיה בן דוד,סופר!,צנעא ־ ר׳מאר,מאה ט״ז-י״ז
סעדיה בן דוד,חכם,שרעב,מאה י״ט
סעדיה בן דוד,רב קהילה,מוקרה - דרום תימן,מאה י״ט־כ׳
סעדיה בן דוד,חכם ומקובל,---,מאה כ׳
סעדיה בן דוד בן סעדיה,סופר,רדאע,מאה י״ז
סעדיה בן זכריה,סופר,---,ה׳לא - מרכז תימן/ מאה י״ז
סעדיה בן חיים,חכם,מראצין - חוגריה,מאה י״ט־כ׳
סעדיה בן חסדאי,---,---,---
"סעדיה, חסן בן שלום",דיין,צ׳אלע - דרום תימן,מאה י״ס
סעדיה בן יוסף,דיין וראב״ד,דמת - דרום תימן,מאה י״ס
סעדיה בן יוסף,מנהיג,בית בוס ־ מרכז תימן,מאה י״ט
