שם,תפקיד,עיר,תקופה
"גמליאל, בנימין שוכר",רב קהילה,מעאזבה־עמאר,מאה י״ט־כ׳
"גמליאל, דוד בן שלום",חכם,צנעא,מאה י״ט
"גמליאל, חיים",סופר,---,מאה י״ט
"גמליאל, יוסף",נשיא קהילה,תעיז ־ שרעב,מאה י״ט-ב׳
"גמליאל, פלוני בן שלמה",סופר,---,מאה י״ח-י״ט
"גמליאל, שלום בן יחיא",חכם באשי חמישי,צנעא,מאה י״ט
"גמליאל, שלום בן משה",סופר,---,מאה י״ט
"גמליאל, שלמה",נגיר,צנעא,"מאה י ""ז"
"גמליאל, שלמה בן משה",סופר,---,מאה י״ח
"גרירי, יצחק בן אברהם",מנהיג,גיל אלעקבי,מאה י״ט
"גרירי, סעדיה בן מעורר(!)",---,---,---
"גרנעי, יאשיה בן זכריה הרופא",סופר,קורמה־חוגריה,מאה י״ט
"גרנעי, יעיש בן אחיא",סופר,קורמה־חוגריה,מאה י״ט
"גרשי, יחיא",חכם ומנהיג,כפר מקאלח ־ דרום תימן,מאה כ׳
"ראורי, יוסף בן שלום",רב עיר,כוחלאן ־ מרכז תימן,מאה י״ט~כ'
"ראר, חיים בן שלום",סופר,ירושלים,מאה י״ס
"ראר, חסראי בן יחיא",סופר,---,מאה י״ט־כ׳
"ראר, יוסף",מנהיג,כוכבאן ־ מרכז תימן,מאה י״ח־י״ט
"ראר, שוכר בן שלום",סופר,---,מאה י״ט
דוד,כשיא וראש גולה,צנעא ־ דמשק,מאה י״ב
דוד,דיין,צ׳אלע - דרום תימן,תחילת מאה כ׳
דוד בן אברהם בן סעדיה,סופר,---,מאה י״ט
דוד אחיא,מראשי יהודי שרעב,אמצע מאת כ׳,---
"דוכמא, עצ׳א",רב קהילה,רג׳וזה מחוז ברט,מאה כ׳
"רחוח, אברהם",---,---,---
"ר׳מארי, זכריה בן משה",סופר,---,מאה י״ט
"ר׳מארי, חיים בן יוסף",מנהיג,צנעא,סוף המאה הי״ט
"ר׳מארי, חסין",חכם,---,מאה ט״ו ן
"רנוך, יחיא בן אהרן",חכם ומנהיג,שיבאם ־ צנעא - ת״א,מאה כ׳
דניאל בירב פיומי,משורר,צנעא!,אמצע מאה י״ב
"דפתי, עואץ בן מרי חיים",ראב״ר ורב ראש? חרף אלהיגה ־ חנגריה,---,מאה כ׳
"דשאל, דוד בן מעודד",דיין וסופר,צנעא,אמצע מאה ט״ז
"הבא, יחיא בן שלום",ראש קהילה,אלנבאת - חימה,מאוח י׳־יט-כ׳
